"ident","type_aeroport","name","municipality","latitude_deg","longitude_deg","elevation_ft","Piste","Longueur_de_piste","Type_de_piste","Observations","wikipedia_link","fret"
"KRAL","medium_airport","Riverside Municipal Airport","Riverside","33.951900","-117.445000","819","9-27 16-34","5401/2851","ASP/ASP","","http://en.wikipedia.org/wiki/Riverside_Municipal_Airport","13849"
"KRAP","medium_airport","Rapid City Regional Airport","Rapid City","44.045300","-103.056999","3204","5-23 14-32","3601/8701","ASP/CON","","http://en.wikipedia.org/wiki/Rapid_City_Regional_Airport","13532"
"KRAS","small_airport","Mustang Beach Airport","Port Aransas","27.811800","-97.088799","5","11293","3482","ASP/","","","4682"
"KRAW","small_airport","Warsaw Municipal Airport","Warsaw","38.346901","-93.345398","936","18-36","3300","CON/","","","4569"
"KRBD","small_airport","Dallas Executive Airport","Dallas","32.680901","-96.868202","660","13-31 17-35","6451/3800","PEM/PEM","","http://en.wikipedia.org/wiki/Dallas_Executive_Airport","4732"
"KRBE","small_airport","Rock County Airport","Bassett","42.569698","-99.568398","2349","2-20 13-31","2250/4698","GRE/CON","","","4352"
"KRBG","small_airport","Roseburg Regional Airport","Roseburg","43.238800","-123.356003","529","16-34","4601","ASP/","","http://en.wikipedia.org/wiki/Roseburg_Regional_Airport","4728"
"KRBL","medium_airport","Red Bluff Municipal Airport","Red Bluff","40.150700","-122.251999","352","15-33","5700","ASP/","","http://en.wikipedia.org/wiki/Red_Bluff_Municipal_Airport","13728"
"KRBM","small_airport","Robinson Army Air Field","Camp Robinson/Little Rock","34.850101","-92.300201","587","44652","5000","ASP/","","","4669"
"KRBO","small_airport","Nueces County Airport","Robstown","27.778500","-97.690498","79","13-31","3700","ASP/","","","4852"
"KRBW","small_airport","Lowcountry Regional Airport","Walterboro","32.921001","-80.640602","101","5-23 9-27 17-35","6002/5408/5705","PEM/PEM/PEM","","http://en.wikipedia.org/wiki/Lowcountry_Regional_Airport","4573"
"KRCA","medium_airport","Ellsworth Air Force Base","Rapid City","44.145000","-103.103996","3276","13-31","13497","CON/","","http://en.wikipedia.org/wiki/Ellsworth_Air_Force_Base","13640"
"KRCK","small_airport","H H Coffield Regional Airport","Rockdale","30.631599","-96.989700","474","17-35","3084","ASP/","","","4287"
"KRCM","small_airport","Skyhaven Airport","Warrensburg","38.784199","-93.802902","798","13-31 18-36","2801/4206","ASP/ASP","","","5068"
"KRCP","small_airport","Stockton / Rooks County Regional","","39.346592","-99.304649","1998","18-36","5000","CON/","","","4715"
"KRCR","small_airport","Fulton County Airport","Rochester","41.065601","-86.181702","790","47423","5001","ASP/","","http://en.wikipedia.org/wiki/Fulton_County_Airport_(Indiana)","4407"
"KRCT","small_airport","Nartron Field","Reed City","43.900002","-85.516701","1055","17-35","4506","ASP/","","http://en.wikipedia.org/wiki/Nartron_Field","4399"
"KRCX","small_airport","Rusk County Airport","Ladysmith","45.496799","-91.000504","1238","1-19 14-32","3200/4000","ASP/ASP","","","4218"
"KRCZ","small_airport","Richmond County Airport","Rockingham","34.891300","-79.759598","358","4-22 13-31","3000/4492","GRE/ASP","","http://en.wikipedia.org/wiki/Richmond_County_Airport","4685"
"KRDD","medium_airport","Redding Municipal Airport","Redding","40.508999","-122.292999","505","12-30 16-34","5067/7003","ASP/ASP","","http://en.wikipedia.org/wiki/Redding_Municipal_Airport","13893"
"KRDG","medium_airport","Reading Regional Carl A Spaatz Field","Reading","40.378502","-75.965202","344","13-31 18-36","6350/5151","ASP/ASP","","http://en.wikipedia.org/wiki/Reading_Regional_Airport","13804"
"KRDK","small_airport","Red Oak Municipal Airport","Red Oak","41.010502","-95.259903","1045","5-23 14-32 17-35","4100/2050/2901","CON/TURF-F/CON","","","4522"
"KRDM","medium_airport","Roberts Field","Redmond","44.254101","-121.150002","3080","11-29 5-23","6998/7040","ASP/ASP","","http://en.wikipedia.org/wiki/Roberts_Field","13458"
"KRDR","medium_airport","Grand Forks Air Force Base","Grand Forks","47.961102","-97.401199","913","17-35","12350","ASP/","","http://en.wikipedia.org/wiki/Grand_Forks_Air_Force_Base","14023"
"KRDU","large_airport","Raleigh Durham International Airport","Raleigh/Durham","35.877602","-78.787498","435","05L-23R 05R-23L 14-32","10000/7500/3570","CON/ASP/ASP","","http://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport","103575"
"KRED","small_airport","Red Lodge Airport","Red Lodge","45.187401","-109.266998","5763","16-34","4000","ASP/","","","4864"
"KREI","small_airport","Redlands Municipal Airport","Redlands","34.085300","-117.146004","1571","46235","4505","ASP/","","http://en.wikipedia.org/wiki/Redlands_Municipal_Airport","4970"
"KREO","small_airport","Rome State Airport","Rome","42.577702","-117.885002","4053","44256","6000","GVL/","","","5078"
"KRFD","large_airport","Chicago Rockford International Airport","Chicago/Rockford","42.195400","-89.097198","742","1-19 7-25","8199/10004","ASP/PEM/","","http://en.wikipedia.org/wiki/Chicago/Rockford_International_Airport","103751"
"KRFG","small_airport","Rooke Field","Refugio","28.293600","-97.322998","56","9-27 14-32","2650/4361","ASP/ASP","","","4525"
"KRFI","small_airport","Rusk County Airport","Henderson","32.141701","-94.851700","442","12-30 16-34","3002/4004","ASP/ASP","","","4703"
"KRGK","small_airport","Red Wing Regional Airport","Red Wing","44.589401","-92.485001","778","46631","5011","ASP/","","","4229"
"KRHI","medium_airport","Rhinelander Oneida County Airport","Rhinelander","45.631199","-89.467499","1624","5-23 9-27 15-33","5600/6800/4504","ASP/CON/ASP","","http://en.wikipedia.org/wiki/Rhinelander-Oneida_County_Airport","13738"
"KRHP","small_airport","Western Carolina Regional Airport","Andrews","35.195202","-83.862999","1697","46235","5500","ASP/","","http://en.wikipedia.org/wiki/Andrews-Murphy_Airport","4364"
"KRHV","small_airport","Reid Hillview of Santa Clara County Airport","San Jose","37.332901","-121.819000","135","13L-31R 13R-31L","3100/3099","ASP/ASP","","http://en.wikipedia.org/wiki/Reid-Hillview_Airport","4301"
"KRIC","large_airport","Richmond International Airport","Richmond","37.505199","-77.319702","167","2-20 7-25 16-34","6607/5326/9003","ASP/ASP/ASP","","http://en.wikipedia.org/wiki/Richmond_International_Airport","103932"
"KRID","small_airport","Richmond Municipal Airport","Richmond","39.757198","-84.842796","1140","6-24 10-28 15-33","5500/3560/5000","ASP/ASP/ASP","","","4906"
"KRIE","small_airport","Rice Lake Airport","","45.478600","-91.722198","1142","","","","","","4724"
"KRIF","small_airport","Richfield Municipal Airport","Richfield","38.736401","-112.098999","5301","43466","6600","ASP/","","","4542"
"KRIL","medium_airport","Garfield County Regional Airport","Rifle","39.526299","-107.726997","5548","46235","7000","ASP/","","","13843"
"KRIR","small_airport","Flabob Airport","Riverside/Rubidoux/","33.989700","-117.411003","764","45444","3200","ASP/","","","4594"
"KRIU","small_airport","Rancho Murieta Airport","Rancho Murieta","38.486801","-121.102997","141","44652","3800","ASP/","","http://en.wikipedia.org/wiki/Rancho_Murieta_Airport","4320"
"KRIV","medium_airport","March ARB Airport","Riverside","33.880699","-117.259003","1536","12-30 14-32","3010/13300","ASP/CON","","http://en.wikipedia.org/wiki/March_Air_Reserve_Base","13861"
"KRIW","medium_airport","Riverton Regional Airport","Riverton","43.064201","-108.459999","5525","1-19 10-28","4800/8203","ASP/ASP","","http://en.wikipedia.org/wiki/Riverton_Regional_Airport","13800"
"KRJD","small_airport","Ridgely Airpark","Ridgely","38.970100","-75.866302","64","11293","3200","ASP/","","","4446"
"KRKD","small_airport","Knox County Regional Airport","Rockland","44.060101","-69.099197","56","3-21 13-31","3900/5007","ASP/ASP","","","4766"
"KRKP","small_airport","Aransas County Airport","Rockport","28.086800","-97.044601","24","9-27 14-32 18-36","4350/5608/4498","ASP/ASP/ASP","","","4687"
"KRKR","small_airport","Robert S Kerr Airport","Poteau","35.021599","-94.621300","451","18-36","4006","ASP/","","","4217"
"KRKS","medium_airport","Rock Springs Sweetwater County Airport","Rock Springs","41.594200","-109.065002","6764","3-21 9-27","5223/10000","ASP/ASP","","http://en.wikipedia.org/wiki/Rock_Springs_-_Sweetwater_County_Airport","13871"
"KRKW","small_airport","Rockwood Municipal Airport","Rockwood","35.922298","-84.689697","1664","44652","4995","ASP/","","","4460"
"KRLD","small_airport","Richland Airport","Richland","46.305599","-119.304001","394","1-19 8-26","4009/3995","ASP/ASP","","","4364"
"KRME","medium_airport","Griffiss International Airport","Rome","43.233799","-75.406998","504","15-33","11820","CON/","","http://en.wikipedia.org/wiki/Griffiss_Airfield","13491"
"KRMG","medium_airport","Richard B Russell Airport","Rome","34.350601","-85.157997","644","1-19 7-25 14-32","6000/4497/3596","ASP/ASP/ASP","","","13559"
"KRMN","small_airport","Stafford Regional Airport","Stafford","38.398102","-77.455498","211","15-33","5000","ASP/","","","4633"
"KRMY","small_airport","Brooks Field","Marshall","42.251202","-84.955498","941","47027","3500","ASP/","","","4541"
"KRNC","small_airport","Warren County Memorial Airport","Mc Minnville","35.698700","-85.843803","1032","45047","5000","ASP/","","","4916"
"KRND","large_airport","Randolph Air Force Base","Universal City","29.529699","-98.278900","761","14L-32R 14R-32L","8351/8353","CON/PEM/","","","102999"
"KRNH","medium_airport","New Richmond Regional Airport","New Richmond","45.148300","-92.538101","998","4-22 14-32","2110/4003","GRS/ASP","","","13598"
"KRNM","small_airport","Ramona Airport","Ramona","33.039200","-116.915001","1395","46631","5001","ASP/","","http://en.wikipedia.org/wiki/Ramona_Airport","4814"
"KRNO","large_airport","Reno Tahoe International Airport","Reno","39.499100","-119.767998","4415","8-26 17L-35R 17R-35L","6102/9000/11002","CON/CON/CON","","http://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport","103493"
"KRNP","small_airport","Owosso Community Airport","Owosso","42.993000","-84.138901","736","6-24 10-28 18-36","2483/4300/2599","GRS/ASP/GRS","","","4546"
"KRNT","small_airport","Renton Municipal Airport","Renton","47.493099","-122.216003","32","16-34","5382","ASPH-CONC-G/","","","5052"
"KRNV","small_airport","Cleveland Municipal Airport","Cleveland","33.761101","-90.757896","139","18-36","4006","ASP/","","","4620"
"KROA","large_airport","Roanoke Regional Woodrum Field","Roanoke","37.325500","-79.975403","1175","6-24 15-33","6800/5810","ASP/ASP","","http://en.wikipedia.org/wiki/Roanoke_Regional_Airport","104019"
"KROC","large_airport","Greater Rochester International Airport","Rochester","43.118900","-77.672401","559","4-22 7-25 10-28","8001/4000/6402","ASP/ASP/ASP","","http://en.wikipedia.org/wiki/Greater_Rochester_International_Airport","103585"
"KROG","small_airport","Rogers Municipal Carter Field","Rogers","36.372299","-94.106903","1359","43862","6011","ASP/","","","4319"
"KROS","small_airport","Rush City Regional Airport","Rush City","45.698002","-92.953003","926","16-34","4400","ASP/","","","4944"
"KROW","medium_airport","Roswell International Air Center Airport","Roswell","33.301601","-104.530998","3671","3-21 12-30 17-35","13001/7425/9999","PEM/PEM/ASP","","http://en.wikipedia.org/wiki/Roswell_International_Air_Center","13371"
"KROX","small_airport","Roseau Municipal Rudy Billberg Field","Roseau","48.855999","-95.696999","1060","6-24 16-34","2504/4400","GRS/ASP","","","4856"
"KRPB","small_airport","Belleville Municipal Airport","Belleville","39.817902","-97.659599","1537","14-32 18-36","1930/3500","GRS/ASP","","","4677"
"KRPD","small_airport","Rice Lake Regional Carl's Field","Rice Lake","45.418999","-91.773499","1109","1-19 13-31","5700/3500","ASP/ASP","","","4729"
"KRPH","small_airport","Graham Municipal Airport","Graham","33.110199","-98.555298","1123","3-21 18-36","4200/3317","ASP/ASPH-F","","","4627"
"KRPJ","small_airport","Rochelle Municipal Airport - Koritz Field","Rochelle","41.893002","-89.078300","781","45839","4226","ASP/","","","4694"
"KRPX","small_airport","Roundup Airport","Roundup","46.475095","-108.541497","3500","6-24 15-33","5098/2458","ASP/GRS","","http://en.wikipedia.org/wiki/Roundup_Airport","4338"
"KRQB","small_airport","Roben Hood Airport","Big Rapids","43.722599","-85.504097","990","9-27 14-32","4300/2700","ASP/ASP","","http://en.wikipedia.org/wiki/Roben-Hood_Airport","4296"
"KRQE","small_airport","Window Rock Airport","Window Rock","35.652100","-109.067001","6742","43862","7000","ASP/","","http://en.wikipedia.org/wiki/Window_Rock_Airport","4130"
"KRQO","small_airport","El Reno Regional Airport","El Reno","35.472698","-98.005798","1420","17-35 18-36","5600/4630","CONC-TRTD-G/TURF-F","","","4396"
"KRRL","small_airport","Merrill Municipal Airport","Merrill","45.198898","-89.712898","1318","7-25 16-34","5100/2997","ASP/ASP","","","4599"
"KRRQ","small_airport","Rock Rapids Municipal Airport","Rock Rapids","43.452202","-96.179802","1363","16-34","3097","ASP/","","","5191"
"KRRT","small_airport","Warroad International Memorial Field","Warroad","48.941399","-95.348396","1076","4-22 13-31","3000/5400","GRS/ASP","","","4521"
"KRSL","medium_airport","Russell Municipal Airport","Russell","38.872101","-98.811798","1862","3-21 17-35","1602/5000","GRE/CON","","","13637"
"KRSN","small_airport","Ruston Regional Airport","Ruston","32.514400","-92.591698","311","18-36","5003","ASP/","","","4869"
"KRST","large_airport","Rochester International Airport","Rochester","43.908298","-92.500000","1317","2-20 13-31","7300/9033","CON/CON","","http://en.wikipedia.org/wiki/Rochester_International_Airport","103463"
"KRSV","small_airport","Robinson Municipal Airport","Robinson","39.015999","-87.649803","462","9-27 17-35","5109/3399","ASP/ASP","","","4907"
"KRSW","large_airport","Southwest Florida International Airport","Fort Myers","26.536200","-81.755203","30","45444","12000","ASP/","","http://en.wikipedia.org/wiki/Southwest_Florida_International_Airport","103628"
"KRTN","small_airport","Raton Municipal-Crews Field","Raton","36.741501","-104.501999","6352","2-20 7-25","6328/4404","ASP/ASP","","","4204"
"KRUE","small_airport","Russellville Regional Airport","Russellville","35.259102","-93.093300","404","45839","5094","ASP/","","","4596"
"KRUG","small_airport","Rugby Municipal Airport","Rugby","48.390400","-100.024002","1548","11293","3604","ASP/","","","5079"
